college02,race,parentrelations,urbanrural,marijuana_anydrug,y_arrestedafter2002,nshot_summary_text
"not enrolled, 2-year college graduate",black,"biological mother, marital status unknown",urban,marijuana_anydrug,False,"current education status is not enrolled, 2-year college graduate, and race is black, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, high school degree",white,Unknown,Unknown,marijuana_anydrug,False,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, no high school degree, no GED",white,"biological mother, marital status unknown",rural,marijuana_anydrug,False,"current education status is not enrolled, no high school degree, no GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is rural, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, some college",white,both biological parents,urban,marijuana_anydrug,False,"current education status is not enrolled, some college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, no high school degree, no GED",white,"biological dad, marital status unknown",urban,marijuana_anydrug,True,"current education status is not enrolled, no high school degree, no GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, no high school degree, no GED",white,"biological mother, marital status unknown",urban,marijuana_anydrug,False,"current education status is not enrolled, no high school degree, no GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, high school degree",white,"biological mother, marital status unknown",urban,marijuana_anydrug,False,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
enrolled in a 4-year college,white,both biological parents,urban,marijuana_anydrug,True,"current education status is enrolled in a 4-year college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, high school degree",white,"biological mother, other parent present",urban,marijuana_anydrug,True,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, no high school degree, no GED",white,both biological parents,urban,marijuana_anydrug,False,"current education status is not enrolled, no high school degree, no GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, high school degree",white,"biological mother, marital status unknown",urban,marijuana_anydrug,False,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"not enrolled, high school degree",white,"biological dad, marital status unknown",Unknown,,True,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is nan"
enrolled in a 4-year college,white,both biological parents,urban,marijuana_anydrug,False,"current education status is enrolled in a 4-year college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"enrolled in grades 1-12, not a high school graduate",white,both biological parents,urban,marijuana_anydrug,False,"current education status is enrolled in grades 1-12, not a high school graduate, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug"
"enrolled in grades 1-12, not a high school graduate",white,both biological parents,Unknown,marijuana_anydrug,False,"current education status is enrolled in grades 1-12, not a high school graduate, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug"
