college02,num_weight,experience02,parentrelations,height_total_inches,y_arrestedafter2002,nshot_summary_text
"not enrolled, GED",137,2,"biological mother, other parent present",68,True,"current education status is not enrolled, GED, and weight in pounds is 137, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 68"
"not enrolled, high school degree",187,2,"biological mother, marital status unknown",63,False,"current education status is not enrolled, high school degree, and weight in pounds is 187, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 63"
"not enrolled, GED",230,1,"other adults, biological parent status unknown, not group quarters",69,True,"current education status is not enrolled, GED, and weight in pounds is 230, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 69"
"not enrolled, some college",205,0,"biological mother, marital status unknown",73,False,"current education status is not enrolled, some college, and weight in pounds is 205, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73"
enrolled in a 4-year college,155,1,Unknown,70,True,"current education status is enrolled in a 4-year college, and weight in pounds is 155, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 70"
"enrolled in grades 1-12, not a high school graduate",260,0,both biological parents,72,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 260, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 72"
"not enrolled, high school degree",145,2,"biological mother, marital status unknown",71,True,"current education status is not enrolled, high school degree, and weight in pounds is 145, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71"
"not enrolled, no high school degree, no GED",190,1,"biological dad, marital status unknown",75,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 190, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 75"
"not enrolled, no high school degree, no GED",180,3,"biological dad, marital status unknown",70,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 180, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 70"
"not enrolled, high school degree",160,3,"biological mother, marital status unknown",74,True,"current education status is not enrolled, high school degree, and weight in pounds is 160, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 74"
enrolled in a 4-year college,165,3,both biological parents,72,False,"current education status is enrolled in a 4-year college, and weight in pounds is 165, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 72"
"not enrolled, some college",151,3,"other adults, biological parent status unknown, not group quarters",70,False,"current education status is not enrolled, some college, and weight in pounds is 151, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 70"
"not enrolled, some college",325,4,both biological parents,71,False,"current education status is not enrolled, some college, and weight in pounds is 325, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 71"
